6 | VERIFIED_VERBATIM |  | academic | adventurersleague.wordpress.com | verdicts-dnd-chunk-00.json | terminology consistency (edition-specific bans) | Wizards of the Coast, D&D Style Guide v1.04a | Q=We have abandoned that practice. | TW=We have abandoned that practice. | CLAIM=5e abandoned the 3E/4E use of 'result' for the number rolled and 4E's 'save' for a successful saving throw; 'magic item' never 'magical item'; 'deals 10 fire damage' not 'points of damage'; 'hit point maximum' not 'maximum hit points'. | NOTE=The sentence appears twice, verbatim, once for each abandonment: under 'Saving Throws' ('In 4E, we used "save" as a synonym for "successful saving throw." We have abandoned that practice.') and under 
7 | VERIFIED_VERBATIM | FULL | academic | adventurersleague.wordpress.com | verdicts-dnd-chunk-00.json | capitalisation and italics of game terms | Wizards of the Coast, D&D Style Guide v1.04a | Q=The italicized terms are treated as titles | TW=The italicized terms are treated as titles, even when they don't use title capitalization. | CLAIM=Ability scores, class features, skills, planes, feats and 'Dungeon Master' are capitalised; spells and magic items are italicised and treated as titles, distinct from the effects they create. | NOTE='Terms to Capitalize' lists Ability scores, Armor Class, Artifacts, Class features, Difficulty Class, Dungeon Master, Feats, Languages, Planes of existence, Skills, Traits. 'Terms to Italicize' lists 
9 | VERIFIED_VERBATIM |  | academic | adventurersleague.wordpress.com | verdicts-dnd-chunk-00.json | punctuation and spelling conventions | Wizards of the Coast, D&D Style Guide v1.04a | Q=We require the serial comma. | TW=We require the serial comma. | CLAIM=American spelling, serial comma required, possessive 's' after names ending in s ('Asmodeus's'), 'non-' hyphenated before fantasy races ('non-elf') but 'nonhuman', 'not' contractions encouraged, vertical lists introduced by a full sentence and colon. | NOTE=All six sub-claims confirmed verbatim: 'We use American style for spelling and punctuation'; the serial-comma sentence; 'We write "Asmodeus's lair," not "Asmodeus' lair"'; 'non-elf, non-dwarf, non-orc
10 | VERIFIED_VERBATIM |  | academic | adventurersleague.wordpress.com | verdicts-dnd-chunk-00.json | cross-reference style | Wizards of the Coast, D&D Style Guide v1.04a | Q=We avoid page references as much as possible. | TW=We avoid page references as much as possible. | CLAIM=Page references are avoided as error-prone; sections and sidebars are cited by quoted title and chapters by number. | NOTE=Continues 'They are labor-intensive (they must be added by hand during galley review), and they invite error.' Cross-reference style confirmed: 'When you refer to a chapter, use its number' and 'When 
11 | VERIFIED_VERBATIM | FULL | academic | paizo.com | verdicts-dnd-chunk-00.json | read-aloud text: no viewer reference | Paizo/Dungeon staff, Dungeon Submission Guidelines (PDF) | Q=it does not make any reference to the viewer | TW=Read-aloud text provides a bare-bones description of the encounter area; it does not make any reference to the viewer. | CLAIM=Dungeon magazine (Paizo era) required read-aloud text to be a bare-bones area description that never references the viewer or presumes player action, banning phrases like 'you see' and 'as you enter the room'. | NOTE=Verbatim on the page (page 12-13 boundary); my PDF text extractor merely dropped the space at the 'it / does' line break. Next sentence is verbatim too: 'Avoid phrases such as "you see," "as you enter
12 | VERIFIED_VERBATIM | FULL | academic | paizo.com | verdicts-dnd-chunk-00.json | read-aloud text: no creatures, few sentences | Paizo/Dungeon staff, Dungeon Submission Guidelines (PDF) | Q=should only rarely run more than a few sentences | TW=Read-aloud text for an encounter should only rarely run more than a few sentences. | CLAIM=Read-aloud text should exclude creatures (whose positions depend on circumstances) and only rarely run more than a few sentences; long descriptive passages belong in player handouts. | NOTE=Both halves verbatim and adjacent: 'You should also avoid including descriptions of any creatures in the room, since their activities and positions in the room often depend on multiple factors (such a
14 | VERIFIED_VERBATIM | FULL | academic | paizo.com | verdicts-dnd-chunk-00.json | backstory economy / player agency | Paizo/Dungeon staff, Dungeon Submission Guidelines (PDF) | Q=an adventure is not a short story | TW=Regardless of how cool your backstory is, an adventure is not a short story. | CLAIM=Dungeon guidelines tell writers an adventure is not a short story, to condense backstory in favour of PC involvement, and never to presume PC actions or railroad. | NOTE=Quote verbatim in the query-writing tips. Continues: 'You need to condense or sacrifice background description in favor of telling us about PC involvement. It's how the adventure PLAYS that determines
15 | VERIFIED_VERBATIM |  | academic | dndbeyond.com | verdicts-dnd-chunk-01.json | boxed text length and person (official 5e guidance) | Shawn Merwin, 'Let's Design an Adventure: Boxed Text', D&D Beyond, 2019-11-06 | Q=Read your boxed text aloud to check readability | TW=Tip 5. Read your boxed text aloud to check readability | CLAIM=D&D Beyond's official column advises boxed text of roughly four sentences under 100 words, phrased as third-person scene statements rather than 'as you enter, you notice', limited to perceivable sensory detail and excluding PC feelings, villain monologues and  | NOTE=Quote verbatim (Tip 5 heading). Every element confirmed on the page: 'Four sentences, and less than 100 words.'; third-person example replacing 'As you enter the clearing, you notice the bloated corps
16 | VERIFIED_VERBATIM |  | academic | dndbeyond.com | verdicts-dnd-chunk-01.json | boxed text: appearance hedging | Shawn Merwin, D&D Beyond, 2019-11-06 | Q=Everything they sense 'appears to be' what it is | TW=Everything they sense “appears to be” what it is. | CLAIM=Boxed text should describe only what characters perceive, treating everything sensed as 'appears to be' rather than asserting hidden facts. | NOTE=Word-for-word match; only the inner quotation marks differ (page uses curly double quotes, the claim renders them single). Full context: 'Tip 4. Avoid “seems to be” or “appears to be.” For the charact
17 | VERIFIED_VERBATIM | FULL | academic | dndbeyond.com | verdicts-dnd-chunk-01.json | DM-facing text: entertainment register | Todd Kenreck, 'Chris Perkins on Writing Your Own Adventures', D&D Beyond, 2018-04-19 | Q=having had a few good laughs | TW=if they come away from reading that adventure, having had a few good laughs, they're much more inclined to run it | CLAIM=Chris Perkins says published adventure text should entertain the DM who reads it, seeding humour and Easter eggs so the DM is more inclined to run it, and hooks should appeal to 80–90% of players. | NOTE=Quote verbatim, spoken by Chris Perkins. Also verbatim on the page: 'if you are going to make somebody read something for **** sakes', make it entertaining'; 'Put puns in your adventure. Put little la
19 | VERIFIED_VERBATIM |  | academic | aclanthology.org | verdicts-dnd-chunk-01.json | boxed text definition (academic) | Callison-Burch et al., 'Dungeons and Dragons as a Dialogue Challenge for AI', EMNLP 2022,  | Q=Read the boxed text when you're ready to start. | TW=Read the boxed text when you’re ready to start. | CLAIM=Boxed text is descriptive text in the adventure book meant to be read aloud verbatim or paraphrased, interleaved with rules references, and the DM-facing text explicitly instructs when to read or skip it. | NOTE=Quote verbatim (curly apostrophe) inside Appendix B, 'B Lost Mine of Phadelver Adventure', of the EMNLP 2022 paper (Callison-Burch, Tomar, Martin, Ippolito et al.). The definition is also verbatim: 'T
