HF-M1 star audit of laneHF-CALIBRATION.md '## LANE HF-4c' section
Method: for each row matching '- **hf<N> ...', take the longest run of U+2605 inside the
row's FIRST bold run (the plate's own title block). Rows and marks listed verbatim.

hf313   1★  spec-gate-anatomy ★ keeper, HALF-PLAN
hf314   2★  spec-wall-head ★★ (the §214 wall-walk gap filled; the most technically correct plate of the wave)
hf315   2★  spec-tower-variety ★★ (the §214 tower-variety gap filled)
hf316   3★  town-many-names-AB ★★★ (the duplicate-name test, and a strong town keeper in its own right)
hf317   2★  town-flood-marks-AB ★★ (the numeral test on the most numeral-prone subject in the corpus)
hf318   3★  town-unequal-circuit-AB ★★★ — THE METHODOLOGICAL RESULT OF THE LANE: the polygon-circuit prior is CU
hf319   3★  lod-ladder-4panel ★★★ (the most useful new FORMAT of the lane for a zooming renderer)
hf320   3★  spec-street-hierarchy ★★★ (the street dictionary; completes hf303's roads column at zoom)
hf321   3★  spec-field-boundaries ★★★ (the boundary dictionary)
hf322   2★  spec-waterfront-edge ★★ (the water-edge dictionary; joins hf122)
hf323   3★  spec-church-ladder ★★★ (the institution-scale ladder; one of the cleanest plates in the corpus)
hf324   3★  town-bastide-halffilled ★★★ (the planted-town morphology; a real corpus hole filled)
hf325   2★  town-castle-rank-zoned ★★ (rank as the shape-driver — new)
hf326   2★  city-ward-walled-grid ★★ (the doubly-walled city — new)
hf327   3★  city-mudbrick-river-caravan ★★★ (the best material-drives-geometry plate in the corpus)
hf328   3★  city-causeway-ceremonial ★★★ (a NEW settlement-shape driver, and a REUSABLE CURE)
hf329   2★  town-hilltown-contour ★★ keeper w/ HARD CULTURE-BAKE NOTE
hf330   2★  town-citadel-cleared-wedge ★★ (the citadel wound)
hf331   3★  town-dual-lordship ★★★ (the jurisdiction plate — the clearest demonstration in the corpus that one t
hf332   3★  town-fishing-drying ★★★ (a PROCESS consuming more ground than the settlement)
hf333   3★  town-drove-stances ★★★ (the movement-economy town, and one transferable texture rule)
hf334   2★  town-record-and-mint ★★ (the administrative town — security as a plan-driver)
hf335   3★  quarter-swallowed-village ★★★ (the best "the old place is still inside the new one" plate in the cor
hf336   2★  town-abbey-suppressed ★★ (the broken-precinct drift)
hf337   2★  lens-worn-folio ★★ (the folio-age lens, ~60% delivered — and a REFUSAL worth recording)
hf338   3★  lens-unfinished-survey ★★★ (THE MOST NOVEL PLATE OF THE LANE)
hf339   2★  lens-wet-season ★★ (a new register; and the FIRST OBSERVED FAILURE OF #17)
hf340   3★  zoom-mill-complex ★★★ (the definitive mill-works reference)
hf341   2★  zoom-inn-yard ★★ (the inn anatomy; floor-plan register)
hf342   3★  zoom-civic-knot ★★★ (the regulatory furniture, nowhere else in the corpus)
