airlockdoor	C	sealed door -> JOINT_KINDS sealed_door / door attribute
aludel	C	vessel (A-head) -- a sublimation vessel on a bench
ampulla stall	BR	a selling zone, not a fixture
and for the fabric	N	parse fragment
arbour	BR	yard structure, 2.7 yard-fixture vocabulary
arcade front	BE	envelope
arcade open	BE	envelope
arcade state room	BR	room
archive closet hosted in fixtures carrel	N	parse fragment
armarium recess	BX	RECESS third term (2.3 declares it)
arms	C	hanging (A-head) -- armorial panel
as d e f c at the top grades	N	parse fragment
ash bath	C	bath (A-head), medium=ash
assay furnace	C	furnace (A-head), use=assay
avenue	BR	circulation/outdoor
awning	A	a retractable fabric cover; no member expresses it
awning/velarium	C	awning
balance	C	scales (A-head)
balance beam	C	scales
balance beams	C	scales
balneum	C	bath (A-head), medium=water
bank	BE	earthwork
barber chairs and basins	C	basin (A-head) + seat
bark mill edge runner	C	mill (A-head)
bark stack	C	bone stack -> stack{material}
barn porch	BR	room
barred grille	A	grille/aperture closure; 82 has no member
barred window	C	grille
battlements	BE	envelope
bay window	BE	envelope
bay window two ways	BE	envelope
beam	A	the tanner's fleshing beam -- a worked-on fixture
bell	A	82 carries no bell
bell frame	C	bell
bell turret	BE	envelope (massing part)
bell/clock	C	bell + clock
bier	A	a funeral bier
bird trap	A	NO TYPED HOME (R-INST-6)
biribi board	C	playing table
bishop's throne	A	a seat of state; seat row/dais do not express it
block	C	perch -- BLOCK{falconry}
blowpipe	C	vessel (A-head) -- bench apparatus
board	C	display board
board front	C	shutter counter
bone structure	BE	envelope
book chain	A	the chained-book fitting; a real countable library fixture
book chest	C	chest (A-head)
boundary stone	C	standing stone
bounty board	C	display board
bow chest	C	chest
boxes	C	seat row -- theatre boxes are a seating subdivision
bread ovens	A	oven; hearth does not express a baking oven
bridge	BE	envelope
broadloom	C	loom
cage lift	C	hoist (A-head)
cage under stair	BX	SUBDIVISION third term
candle	C	cresset
candles	C	cresset
canna	C	standpipe -- Venetian water outlet
canvas skin	BE	tent envelope
carrel	BX	SUBDIVISION third term (a study booth)
carrel n and collegiate court chamber closet	N	parse fragment
cashier window/grille	C	grille
castigatio statue	C	punishment post (A-head)
casting furnace	C	furnace
casting pit	C	sawpit (A-head)
catalogue frame	C	display board
causeway	BE	envelope
cellar flap	C	hatch (A-head)
centre post	BE	envelope (structural post)
centre post/monolith	C	standing stone
channel	C	drain
channels/boat dock	BR	water zone
chapel	BR	room
chapter door	C	door -- reinforced door (A-head) not engaged; plain door
charcoal barn	BR	room
charging bridge	C	hoist
chest	A	the generic lockable chest; 60 has only plate chest / money box
chimney row	BE	envelope
choir stalls	C	seat row
circular stone	BE	envelope (wellhead ground)
cistern	A	stored-water vessel; well/standpipe do not express it
clock	A	82 carries no clock
cloister window	BE	envelope
coach as a yard fixture	BR	yard object
cobbled floor	BE	envelope
coffin rest	C	bier
columns	BE	envelope
conduit	C	standpipe
conduit head	C	standpipe
couch	C	bench
crane	C	hoist (A-head)
crane or hoist	C	hoist
cross	A	the market/preaching cross; standing stone does not express a shaft on a stepped base
crucible	C	vessel (A-head)
cucurbit	C	vessel
curb windlass	C	hoist
curtain	C	hanging (A-head)
dipping frame/moulds	C	mould (A-head)
disguised door	C	door
ditch	BE	earthwork
dock	BR	water zone
doorbell	C	bell
double doors	C	door
double doors field side	C	door
